Ref,Val,Package,PosX,PosY,Rot,Side
"SHC3","1mR","R_2512_6332Metric",130.450000,-83.512500,90.000000,top
"SW1","Conn_01x02","R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical",50.900000,-83.405000,90.000000,top
"U1","NCP5183 / TF2190-TAH","SOIC-8_3.9x4.9mm_P1.27mm",78.419000,-112.578260,90.000000,top
"U2","NCP5183 / TF2190-TAH","SOIC-8_3.9x4.9mm_P1.27mm",85.419000,-112.578260,90.000000,top
"U3","NCP5183 / TF2190-TAH","SOIC-8_3.9x4.9mm_P1.27mm",92.419000,-112.578260,90.000000,top
"U4","NCS20034DR2G","SOIC-14_3.9x8.7mm_P1.27mm",116.619000,-108.278260,180.000000,top
"U5","STM32F401CCU6_Balckpill","Blackpill_STM32F401CEU6",96.529000,-118.078260,90.000000,top
"U6","PQDE6W-Q110","PQDE6W",50.114000,-96.573260,0.000000,top
"U7","TO220_replacement_module","TO220_replacement_module",77.624000,-116.583260,0.000000,top
"U8","TO220_replacement_module","TO220_replacement_module",57.319000,-110.878260,-90.000000,top
